Name, Website, Pubs
XiaoFeng Wang 0001, http://www.informatics.indiana.edu/xw7, 45
Michael Backes 0001, https://cispa.de/en/people/backes, 40
Min Yang 0002, http://www.cs.fudan.edu.cn/?page_id=2665###, 40
Shouling Ji, http://person.zju.edu.cn/sji, 38
Qi Li 0002, https://www.cs.tsinghua.edu.cn/publish/csen/4623/2020/20200105201627634466124/20200105201627634466124_.html, 36
Zhiqiang Lin, http://web.cse.ohio-state.edu/~lin.3021, 35
Yang Zhang 0016, https://yangzhangalmo.github.io/, 33
Hai-Xin Duan, https://netsec.ccert.edu.cn/duanhx, 33
Mathias Payer, https://nebelwelt.net/, 31
Xiapu Luo, https://www4.comp.polyu.edu.hk/~csxluo, 31
Daniel Genkin, https://faculty.cc.gatech.edu/~genkin, 30
Zhiyun Qian, http://www.cs.ucr.edu/~zhiyunq, 30
Wenyuan Xu 0001, https://person.zju.edu.cn/en/wyxu, 28
Chao Zhang 0008, https://www.cs.tsinghua.edu.cn/info/1127/3590.htm, 28
Xinyu Xing, http://xinyuxing.org/, 28
Yasemin Acar, https://yaseminacar.de/, 28
Daniel Gruss, https://gruss.cc/, 28
Yinqian Zhang, http://yinqian.org/, 28
Michael Schwarz 0001, https://cispa.de/en/people/c02misc, 26
Xiangyu Zhang 0001, https://www.cs.purdue.edu/homes/xyzhang, 26
Yuval Yarom, https://yuval.yarom.org/, 26
Michelle L. Mazurek, https://www.umiacs.umd.edu/~mmazurek, 26
Giovanni Vigna, https://www.cs.ucsb.edu/~vigna, 26
Ting Wang 0006, https://alps-lab.github.io/, 25
Adam Doupé, http://adamdoupe.com/, 25
Christopher Krügel, http://www.cs.ucsb.edu/~chris, 25
Kangjie Lu, https://www.cs.umn.edu/people/kangjie-lu, 25
Kai Chen 0012, http://www.kaichen.org/, 25
Cristiano Giuffrida, https://www.vusec.net/people/cristiano-giuffrida, 24
Thorsten Holz, https://cispa.de/en/people/c01thho, 23
Wenke Lee, http://wenke.gtisc.gatech.edu/, 23
Gang Wang 0011, http://people.cs.vt.edu/gangwang, 23
Tech, https://tech.cornell.edu/, 23
Dawn Song, https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html, 23
Taesoo Kim, https://taesoo.gtisc.gatech.edu/, 22
Xiaojing Liao, http://www.xiaojingliao.com/, 22
Yan Shoshitaishvili, http://www.yancomm.net/, 22
Neil Zhenqiang Gong, http://people.duke.edu/~zg70, 22
Ahmad-Reza Sadeghi, https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi, 22
Prateek Mittal, http://www.princeton.edu/~pmittal, 22
Sascha Fahl, https://saschafahl.de/, 21
Dongyan Xu, https://www.cs.purdue.edu/homes/dxu, 21
Jörg Schwenk, http://nds.rub.de/chair/people/joerg-schwenk, 21
Luyi Xing, https://luyixing.weebly.com/, 20
Herbert Bos, http://www.cs.vu.nl/~herbertb, 20
Kenneth G. Paterson, https://inf.ethz.ch/people/person-detail.paterson.html, 19
Kaveh Razavi, https://comsec.ethz.ch/people/kaveh-razavi, 19
Jing (Dave) Tian, https://davejingtian.org/, 19
Yuan Zhang 0009, https://yuanxzhang.github.io/, 19
Raluca A. Popa, http://www.eecs.berkeley.edu/~raluca, 19
Elissa M. Redmiles, https://elissaredmiles.com/, 19
Z. Berkay Celik, https://beerkay.github.io/, 18
Ling Ren 0001, https://sites.google.com/view/renling, 18
Bo Li 0026, https://aisecure.github.io/, 18
SP, https://www.cis.mpg.de/mpi-for-security-and-privacy/, 18
David A. Basin, https://www.inf.ethz.ch/personal/basin, 17
Antonio Bianchi, https://antoniobianchi.me/, 17
Ruoyu Wang 0001, https://ruoyuwang.me/, 17
Davide Balzarotti, http://www.s3.eurecom.fr/~balzarot, 17
Yinzhi Cao, https://www.cs.jhu.edu/~yzcao, 17
Byoungyoung Lee, https://lifeasageek.github.io/, 17
Yang Liu 0003, https://www3.ntu.edu.sg/home/yangliu, 17
Kui Ren 0001, https://person.zju.edu.cn/kuiren, 16
Tiffany Bao, https://www.tiffanybao.com/, 16
Florian Kerschbaum, https://cs.uwaterloo.ca/~fkerschb, 16
Rahul Chatterjee 0001, https://pages.cs.wisc.edu/~chatterjee, 16
Kun Sun 0001, https://csis.gmu.edu/ksun, 16
Cas Cremers, https://cispa.saarland/people/cas.cremers, 15
Martin T. Vechev, https://www.sri.inf.ethz.ch/people/martin, 15
Ke Xu 0002, http://thucsnet.com/, 15
Hong Hu 0004, https://huhong789.github.io/, 15
Frank Piessens, https://distrinet.cs.kuleuven.be/people/frank, 15
Gianluca Stringhini, https://seclab.bu.edu/people/gianluca, 15
Charalampos Papamanthou, https://www.cs.yale.edu/homes/cpap, 15
Suman Jana, http://sumanj.info/, 15
Iasonas Polakis, https://www.cs.uic.edu/~polakis, 15
Tianhao Wang 0001, https://tianhao.wang/, 15
Matteo Maffei, https://secpriv.tuwien.ac.at/team/univ_prof_matteo_maffei, 15
Katharina Krombholz, https://cispa.saarland/people/katharina.krombholz, 14
Srdjan Capkun, https://syssec.ethz.ch/people/capkun.html, 14
Adam Bates 0001, http://adambates.org/, 14
Blase Ur, http://www.blaseur.com/, 14
Nick Nikiforakis, https://www.cs.stonybrook.edu/people/faculty/NickNikiforakis, 14
Damon McCoy, http://engineering.nyu.edu/people/damon-mccoy, 14
Xiao Wang 0012, https://wangxiao1254.github.io/, 14
Stefan Mangard, https://www.iaik.tugraz.at/person/stefan-mangard/, 14
Kevin R. B. Butler, http://cise.ufl.edu/~butler, 14
Guofei Gu, http://faculty.cs.tamu.edu/guofei, 14
Dan Boneh, http://crypto.stanford.edu/~dabo, 14
Minhui Xue, https://people.csiro.au/x/j/jason-xue, 14
Yajin Zhou, http://yajin.org/, 13
Zhemin Yang, http://www.cs.fudan.edu.cn/?page_id=12009###, 13
Long Lu, http://www.longlu.org/, 13
Ben Y. Zhao, http://people.cs.uchicago.edu/~ravenben, 13
Haitao Zheng 0001, https://people.cs.uchicago.edu/~htzheng/, 13
Michael K. Reiter, https://reitermk.github.io/, 13
Tech, https://tech.cornell.edu/, 13
Yousra Aafer, https://cs.uwaterloo.ca/~yaafer, 13
Kassem Fawaz, https://kassemfawaz.com/, 13
Somesh Jha, http://pages.cs.wisc.edu/~jha, 13
Zhou Li 0001, https://faculty.sites.uci.edu/zhouli, 13
Tadayoshi Kohno, http://homes.cs.washington.edu/~yoshi, 13
Juraj Somorovsky, https://www.uni-paderborn.de/person/83504, 13
Patrick Traynor, https://www.cise.ufl.edu/~traynor, 13
Adam J. Aviv, https://adamaviv.com/, 13
Ning Zhang 0017, https://n1ngz.github.io/, 13
Christian Rossow, https://christian-rossow.de/, 12
Ben Stock, https://people.cispa.io/ben.stock, 12
Yupeng Zhang 0001, https://zhangyp.web.illinois.edu/, 12
Zhuotao Liu, https://inspiringgroup.github.io/, 12
Deian Stefan, https://cseweb.ucsd.edu/~dstefan, 12
Prateek Saxena, https://www.comp.nus.edu.sg/~prateeks, 12
SP, https://www.cis.mpg.de/mpi-for-security-and-privacy/, 12
Franziska Roesner, http://www.franziroesner.com/, 12
Amir Houmansadr, https://people.cs.umass.edu/~amir/, 12
Giancarlo Pellegrino, https://people.cispa.io/giancarlo.pellegrino, 11
Frank Li 0001, https://frankli.ece.gatech.edu/, 11
Brendan Saltaformaggio, https://saltaformaggio.ece.gatech.edu/, 11
Adrian Perrig, http://www.netsec.ethz.ch/people/aperrig, 11
Florian Tramèr, https://floriantramer.com/, 11
Christopher W. Fletcher, http://cwfletcher.net/, 11
Kang G. Shin, http://web.eecs.umich.edu/~kgshin, 11
Gene Tsudik, http://www.ics.uci.edu/~gts, 11
Manuel Egele, https://www.bu.edu/eng/profile/manuel-egele, 11
Daniel Moghimi, https://moghimi.org/, 11
Eyal Ronen, https://eyalro.net/, 11
Nicolas Papernot, https://www.papernot.fr/, 11
Yuval Ishai, https://simons.berkeley.edu/people/yuval-ishai, 11
Benny Pinkas, http://www.pinkas.net/, 11
Jun Xu 0024, https://www.cs.utah.edu/~junxzm, 11
Yuan Tian 0001, https://www.ytian.info/, 11
Daniel Votipka, https://www.eecs.tufts.edu/~dvotipka, 11
Jiang Ming 0002, https://cs.tulane.edu/~jming, 11
Mario Fritz, https://cispa.saarland/people/gallery, 10
Maximilian Golla, https://maximiliangolla.com/, 10
Raheem A. Beyah, https://rbeyah.ece.gatech.edu/, 10
Ninghui Li, https://www.cs.purdue.edu/homes/ninghui, 10
Gail-Joon Ahn, http://www.public.asu.edu/~gahn1, 10
Kartik Nayak, https://cybersechub.duke.edu/people/kartik-nayak, 10
Roya Ensafi, https://ensa.fi/, 10
Carmela Troncoso, http://carmelatroncoso.com/, 10
SP, https://www.cis.mpg.de/mpi-for-security-and-privacy/, 10
Qi Alfred Chen, https://www.ics.uci.edu/~alfchen, 10
Haojin Zhu, https://www.cs.sjtu.edu.cn/PeopleDetail.aspx?id=62, 10
Matthew Green 0001, https://isi.jhu.edu/~mgreen, 10
Shuai Wang 0011, https://home.cse.ust.hk/~shuaiw, 10
Eran Tromer, http://www.tau.ac.il/~tromer, 10
Ziming Zhao 0001, http://zzm7000.github.io/, 10
Andrew Kwong, https://andrewkwong.org/, 10
Ding Li 0001, https://marapapman.github.io/, 10
Haoyu Wang 0001, https://howiepku.github.io/, 10
Yueqi Chen 0001, http://cusecurity.cs.colorado.edu/yueqichen, 10
Yuekang Li, https://thepatrickstar.github.io/, 10
Qian Wang 0002, http://nisplab.whu.edu.cn/people.html, 10
Julian Loss, https://www.julianloss.com/, 9
Paul Pearce, https://www.cc.gatech.edu/~pearce, 9
Aniket Kate, https://www.cs.purdue.edu/homes/akate, 9
Wenbo Shen, https://wenboshen.org/, 9
Jianjun Chen 0005, https://jianjunchen.com/, 9
Guangliang Yang 0001, https://yang-guangliang.github.io/, 9
Kevin Fu, https://web.eecs.umich.edu/~kevinfu, 9
Engin Kirda, http://www.ccs.neu.edu/home/ek, 9
Jonathan Katz, https://www.cs.umd.edu/~jkatz, 9
Yonghwi Kwon 0001, https://yonghwi-kwon.github.io/, 9
Ian Miers, https://www.cs.umd.edu/people/imiers, 9
Nicolas Christin, http://www.andrew.cmu.edu/user/nicolasc, 9
Riccardo Paccagnella, https://www.cs.cmu.edu/~rpaccagn, 9
Xusheng Xiao, https://xusheng-xiao.github.io/, 9
J. Alex Halderman, https://jhalderm.com/, 9
Trent Jaeger, http://www.trentjaeger.com/, 9
Heng Yin 0001, https://www.cs.ucr.edu/~heng/, 9
Xiaokuan Zhang, https://mainarke.github.io/, 9
Syed Rafiul Hussain, https://syed-rafiul-hussain.github.io/, 9
Pedro Moreno-Sanchez, https://software.imdea.org/people/pedro.moreno/index.html, 9
William Enck, http://www.enck.org/, 9
Alexandros Kapravelos, https://www.kapravelos.com/, 9
Shiqing Ma, https://people.cs.umass.edu/~shiqingma, 9
Ivan Martinovic, https://www.cs.ox.ac.uk/people/ivan.martinovic, 9
Aggelos Kiayias, http://www.inf.ed.ac.uk/people/staff/Aggelos_Kiayias.html, 9
Xueqiang Wang, https://xw48.github.io/, 9
Wei Meng 0001, https://www.cse.cuhk.edu.hk/~wei/, 9
Cong Wang 0001, https://www.cs.cityu.edu.hk/~congwang, 9
Arthur Gervais, http://arthurgervais.com/, 9
Xing Gao 0001, http://xgao-work.github.io/, 9
Thomas Eisenbarth 0001, https://www.its.uni-luebeck.de/mitarbeiterinnen/thomas-eisenbarth.html, 9
Haya Schulmann, https://sites.google.com/view/schulmann, 9
Ali Abbasi 0002, https://cispa.de/en/people/c02alab, 8
Lucjan Hanzlik, https://cispa.saarland/people/lucjan.hanzlik, 8
Cristian-Alexandru Staicu, https://www.staicu.org/, 8
Hang Zhang 0012, https://hangz.me/, 8
Nadia Heninger, https://cseweb.ucsd.edu/~nadiah, 8
Farinaz Koushanfar, https://jacobsschool.ucsd.edu/people/profile/farinaz-koushanfar, 8
Abhi Shelat, https://www.khoury.northeastern.edu/people/abhi-shelat/, 8
Nick Feamster, https://people.cs.uchicago.edu/~feamster/, 8
Tudor Dumitras, http://users.umiacs.umd.edu/~tdumitra, 8
Dave Levin, http://www.cs.umd.edu/~dml, 8
Michalis Polychronakis, https://www3.cs.stonybrook.edu/~mikepo, 8
Tech, https://tech.cornell.edu/, 8
Tech, https://tech.cornell.edu/, 8
Sebastian Faust, https://www.informatik.tu-darmstadt.de/cac/cac/team_cac/sebastian_faust_cac/index.en.jsp, 8
Michael Waidner, https://www.sit.tu-darmstadt.de/de/mwaidner/, 8
Peng Liu 0005, https://s2.ist.psu.edu/pliu, 8
Wouter Joosen, https://distrinet.cs.kuleuven.be/people/wouter, 8
Insu Yun, https://insuyun.github.io/, 8
Brendan Dolan-Gavitt, http://engineering.nyu.edu/people/brendan-dolan-gavitt, 8
Dawu Gu, https://www.cs.sjtu.edu.cn/PeopleDetail.aspx?id=101, 8
Boris Köpf, http://software.imdea.org/~bkoepf, 8
Fan Zhang 0022, https://www.fanzhang.me/, 8
Dimitrios Papadopoulos 0001, https://www.cse.ust.hk/~dipapado, 8
Bradley Reaves, https://bradreaves.net/, 8
Matthew Hicks, http://www.impedimenttoprogress.com/, 8
Sebastian Angel, https://cis.upenn.edu/~sga001, 8
Zubair Shafiq, https://www.cs.ucdavis.edu/~zubair, 8
Yuval Elovici, https://cyber.bgu.ac.il/yuval, 8
Andrei Sabelfeld, https://www.chalmers.se/en/staff/Pages/andrei.aspx, 8
Wei You, https://youwei1988.github.io/, 8
Mauro Conti, https://www.math.unipd.it/~conti, 8
Yuhong Nan, https://nanyuhong.github.io/, 8
Chao Shen 0001, https://gr.xjtu.edu.cn/en/web/cshen/english, 8
Sven Bugiel, https://trust.cispa.saarland/~bugiel, 7
Manos Antonakakis, https://sites.google.com/site/antonakakis, 7
Michael D. Bailey, https://faculty.cc.gatech.edu/~mbailey, 7
Vladimir Kolesnikov, https://www.scs.gatech.edu/people/vladimir-kolesnikov, 7
Fabian Monrose, https://fabianmonrose.github.io/, 7
Shweta Shinde, https://n.ethz.ch/~sshivaji, 7
Elisa Bertino, https://www.cs.purdue.edu/people/bertino, 7
Andrew Miller 0001, http://soc1024.ece.illinois.edu/, 7
Yu Jiang 0001, https://sites.google.com/site/jiangyu198964/home, 7
Mingwei Xu, http://routing.netlab.edu.cn/tiki-index.php?page=Mingwei+Xu, 7
Haixu Tang, http://www.informatics.indiana.edu/hatang, 7
Deepak Kumar 0006, https://kumarde.com/, 7
Mi Zhang 0001, https://mi-zhang-fdu.github.io/index.chn.html, 7
Xiaohan Zhang 0001, https://xhzhang.github.io/, 7
M. Angela Sasse, https://sec.cs.ucl.ac.uk/people/m_angela_sasse/, 7
Dongyoon Lee, https://www3.cs.stonybrook.edu/~dongyoon, 7
Bryan Parno, https://csd.cmu.edu/people/faculty/bryan-parno, 7
Elaine Shi, http://elaineshi.com/, 7
Z. Morley Mao, http://web.eecs.umich.edu/~zmao, 7
Nael B. Abu-Ghazaleh, http://www.cs.ucr.edu/~nael, 7
Emiliano De Cristofaro, https://profiles.ucr.edu/app/home/profile/emiliand, 7
Chengyu Song, https://www.cs.ucr.edu/~csong, 7
Matthias Hollick, https://www.seemoo.tu-darmstadt.de/team/matthias-hollick, 7
Thomas Schneider 0003, https://www.thomaschneider.de/, 7
Chaowei Xiao, https://xiaocw11.github.io/, 7
Qiang Zeng 0001, https://www.gmu.edu/profiles/zeng, 7
Gang Tan, https://www.cse.psu.edu/~gxt29/, 7
Dinghao Wu, https://faculty.ist.psu.edu/wu, 7
SP, https://www.cis.mpg.de/mpi-for-security-and-privacy/, 7
Carter Yagemann, https://carteryagemann.com/, 7
Mathy Vanhoef, https://www.mathyvanhoef.com/, 7
Yongdae Kim, https://syssec.kaist.ac.kr/~yongdaek, 7
Juan Caballero, http://software.imdea.org/people/juan.caballero, 7
Fengwei Zhang, http://cse.sustech.edu.cn/faculty/~zhangfw, 7
Sara Rampazzi, https://sararampazzi.com/, 7
Thomas Shrimpton, https://cise.ufl.edu/~teshrim, 7
Hovav Shacham, http://cseweb.ucsd.edu/~hovav, 7
Hongxin Hu, https://cse.buffalo.edu/~hongxinh, 7
Alexander Russell, http://www.engr.uconn.edu/~acr, 7
Tianwei Zhang 0004, https://personal.ntu.edu.sg/tianwei.zhang, 7
Srini Devadas, https://people.csail.mit.edu/devadas, 7
Hai Jin 0001, http://faculty.hust.edu.cn/jinhai/en/index.htm, 7
Ralf Küsters, https://sec.informatik.uni-stuttgart.de/people/kuesters, 7
Bo Luo, http://www.ittc.ku.edu/~bluo, 7
Yue Zhang 0025, https://yue.zyueinfosec.com/, 7
Christina Pöpper, https://poepper.net/, 7
Dominique Schröder, https://www.chaac.tf.fau.de/person/dominique-schroder, 7
Nils Ole Tippenhauer, https://cispa.saarland/people/nils.tippenhauer, 6
Carl A. Gunter, http://web.engr.illinois.edu/~cgunter, 6
David Heath, https://daheath.web.illinois.edu/, 6
Yang Wang 0005, https://yangwang.ischool.illinois.edu/, 6
Zhongjie Ba, https://person.zju.edu.cn/zhongjieba, 6
Feng Lin 0004, https://person.zju.edu.cn/person/flin, 6
Earlence Fernandes, http://earlence.com/, 6
Stefan Savage, http://cseweb.ucsd.edu/~savage, 6
Dean M. Tullsen, https://cseweb.ucsd.edu/~tullsen, 6
Lei Zhang 0096, https://zxlfd.github.io/, 6
Cristina Nita-Rotaru, http://www.ccis.northeastern.edu/people/cristina-nita-rotaru, 6
Guevara Noubir, http://www.ccs.neu.edu/home/noubir, 6
Alina Oprea, http://www.ccs.neu.edu/home/alina, 6
Aanjhan Ranganathan, https://www.aanjhan.com/, 6
Amir Moradi 0001, https://www.seceng.rub.de/moradi, 6
Vyas Sekar, https://users.ece.cmu.edu/~vsekar, 6
Pardis Emami Naeini, http://www.cs.duke.edu/~pe48, 6
Danfeng Zhang, https://users.cs.duke.edu/~dz132, 6
Ang Chen 0001, https://web.eecs.umich.edu/~chenang, 6
Paul Grubbs, https://paulgrubbs.net/, 6
Florian Schaub, https://www.si.umich.edu/people/florian-schaub, 6
G. Edward Suh, http://www.csl.cornell.edu/~suh, 6
Sanjam Garg, http://www.cs.berkeley.edu/~sanjamg, 6
Patrick D. McDaniel, http://www.patrickmcdaniel.org/, 6
Zhenkai Liang, https://www.comp.nus.edu.sg/~liangzk, 6
Reza Shokri, https://www.comp.nus.edu.sg/~reza, 6
S. Dov Gordon, http://cs.gmu.edu/~gordon, 6
Sooel Son, https://cs.kaist.ac.kr/people/view?idx=553&kind=faculty&menu=160, 6
Guoxing Chen, https://donnod.github.io/, 6
Yu Yu 0001, http://yuyu.hk/, 6
Pramod Viswanath, https://ece.princeton.edu/people/pramod-viswanath, 6
Marco Guarnieri, https://mguarnieri.github.io/, 6
Abhishek Jain 0002, https://www.cs.jhu.edu/faculty/abhishek-jain, 6
Charles Zhang 0001, http://www.cs.ust.hk/~charlesz, 6
Dominik Wermke, https://dwermke.com/, 6
Guozhu Meng, https://impillar.github.io/, 6
Chris Kanich, https://www.cs.uic.edu/~ckanich, 6
Taejoong Chung, https://taejoong.github.io/, 6
David J. Wu 0001, https://www.cs.utexas.edu/~dwu4, 6
Ivan Oliveira Nunes, https://www.rit.edu/directory/ixdics-ivan-de-oliveira-nunes, 6
Matthew Wright 0001, https://www.rit.edu/gccis/computingsecurity/people/matthew-wright, 6
David Lie, http://www.eecg.toronto.edu/~lie, 6
Yuan Hong, https://yhongcs.github.io/, 6
David Mohaisen, http://cs.ucf.edu/~mohaisen, 6
Umar Iqbal 0002, https://engineering.wustl.edu/faculty/Umar-Iqbal.html, 6
Zakir Durumeric, https://zakird.com/, 6
Kangkook Jee, https://kangkookjee.github.io/, 6
Yves-Alexandre de Montjoye, https://www.imperial.ac.uk/computing/people/academic-staff, 6
Rafail Ostrovsky, http://www.cs.ucla.edu/~rafail, 6
Alvaro A. Cárdenas, https://users.soe.ucsc.edu/~alacarde, 6
Michael Pradel, http://software-lab.org/people/Michael_Pradel.html, 6
Lorenzo Cavallaro, https://s2lab.cs.ucl.ac.uk/people/sullivan, 6
Haipeng Cai, https://school.eecs.wsu.edu/people/faculty/haipeng-cai, 6
Jinku Li, https://web.xidian.edu.cn/jkli, 6
Mainack Mondal, https://cse.iitkgp.ac.in/~mainack, 6
Adwait Nadkarni, https://www.adwaitnadkarni.com/, 6
Christian Doerr, https://hpi.de/forschung/fachgebiete/cybersecurity-enterprise-security.html, 6
Lei Xue 0001, https://cslxue.github.io/, 6
Martin Johns, http://www.martinjohns.com/, 6
Jens Grossklags, http://www.cybertrust.in.tum.de/index.php?id=101, 6
Panagiotis Ilia, https://www.cut.ac.cy/faculties/fet/eecei/department_staff/academic_staff/panagiotis.ilia/?languageId=1, 6
Ting Yu 0001, http://www.qcri.org.qa/our-people/bio?pid=115&name=Ting_Yu, 6
Patrick Gage Kelley, http://www.cs.unm.edu/~pgk, 6
